"date","items","amount","category","traveling_category","trip"
"2025-01-20","Acupuncture ","200.00","Medicine",NULL,NULL
"2025-01-21","T & T","6.50","Traveling","Food","Vancouver-Jan25"
"2025-01-21","the one BBQ","43.85","Traveling","Food","Vancouver-Jan25"
"2025-01-21","Kim marts","20.14","Traveling","Food","Vancouver-Jan25"
"2025-01-22","Germain bakery","7.44","Traveling","Food","Vancouver-Jan25"
"2025-01-24","Petro","45.79","Traveling","Gas/Parking","Vancouver-Jan25"
"2025-01-24","Pink Pearl","82.20","Traveling","Food","Vancouver-Jan25"
"2025-01-25","donation soba","100.00","Traveling","Others","Vancouver-Jan25"
"2025-01-26","Katsu","47.50","Traveling","Food","Vancouver-Jan25"
"2025-01-26","Gohua Taiwanese Food","56.07","Traveling","Gift","Vancouver-Jan25"
"2025-01-27","black ball","12.45","Traveling","Food","Vancouver-Jan25"
"2025-01-28","donation","50.00","Traveling","Others","Vancouver-Jan25"
"2025-01-28","T&T parking","2.00","Traveling","Gas/Parking","Vancouver-Jan25"
"2025-01-28","GEBIS","20.00","Donation",NULL,NULL
"2025-01-28","GEBIS","20.00","Donation",NULL,NULL
"2025-01-28","donation new year","50.00","Traveling","Others","Vancouver-Jan25"
"2025-01-28","Wenny red envelope","100.00","Traveling","Hotel","Vancouver-Jan25"
"2025-01-30","Coco","5.95","Traveling","Food","Vancouver-Jan25"
"2025-01-30","super saved gas","30.00","Traveling","Gas/Parking","Vancouver-Jan25"
"2025-01-30","unique clothes","61.67","Traveling","Gift","Vancouver-Jan25"
"2025-01-31","sushi loku","28.85","Traveling","Food","Vancouver-Jan25"
"2025-02-01","coffee","17.58","Traveling","Gift","Vancouver-Jan25"
"2025-02-01","Eastlink","41.38","Cell Phone",NULL,NULL
"2025-02-03","Vietnamese food","41.90","Traveling","Food","Vancouver-Jan25"
"2025-02-03","lay 3 kitchen","17.00","Traveling","Food","Vancouver-Jan25"
"2025-02-03","ferry to Victoria","64.00","Traveling","Public Transportation","Vancouver-Jan25"
"2025-02-03","chevron","66.93","Traveling","Gas/Parking","Vancouver-Jan25"
"2025-02-04","Japanese tako","6.50","Traveling","Food","Vancouver-Jan25"
"2025-02-04","Hotel in Victoria","105.80","Traveling","Hotel","Vancouver-Jan25"
"2025-02-04","fairway market","17.84","Traveling","Food","Vancouver-Jan25"
"2025-02-04","Thai food lunch","15.29","Traveling","Food","Vancouver-Jan25"
"2025-02-04","Liquar","13.29","Traveling","Food","Vancouver-Jan25"
"2025-02-04","thai food dinner","24.95","Traveling","Food","Vancouver-Jan25"
"2025-02-04","shopper","15.10","Traveling","Others","Vancouver-Jan25"
"2025-02-05","Chocolates","15.92","Traveling","Food","Vancouver-Jan25"
"2025-02-05","I Kyu noodles","23.90","Traveling","Food","Vancouver-Jan25"
"2025-02-05","Discovery coffee","8.60","Traveling","Food","Vancouver-Jan25"
"2025-02-05","T & T","50.00","Traveling","Food","Vancouver-Jan25"
"2025-02-05","T & T parking","2.00","Traveling","Food","Vancouver-Jan25"
"2025-02-06","T & T","12.95","Traveling","Food","Vancouver-Jan25"
"2025-02-06","Mexican food","29.70","Traveling","Food","Vancouver-Jan25"
"2025-02-07","LCC coffee","10.17","Traveling","Food","Vancouver-Jan25"
"2025-02-07","Check in lugguage","80.50","Traveling","Gift","Vancouver-Jan25"
"2025-02-07","Golden Swan","75.54","Traveling","Food","Vancouver-Jan25"
"2025-02-07","T & T","26.98","Traveling","Food","Vancouver-Jan25"
"2025-02-08","coffee in airport","6.50","Traveling","Food","Vancouver-Jan25"
"2025-02-08","satbuck cup","7.40","Traveling","Gift","Vancouver-Jan25"
"2025-02-10","Nofrill","47.88","Grocery",NULL,NULL
"2025-02-11","Superstore","16.71","Grocery",NULL,NULL
"2025-02-11","DI Account fee","0.37","Others",NULL,NULL
"2025-02-12","AI Blogger","164.02","Education",NULL,NULL
"2025-02-13","Nofrill","100.00","Grocery",NULL,NULL
"2025-02-13","2-2 Home Deposit","189.18","Home Deposit",NULL,NULL
"2025-02-13","2-1 Home Deposit","1000.00","Home Deposit",NULL,NULL
"2025-02-14","John Brown","25.60","Food Outside",NULL,NULL
"2025-02-14","2 Saved for Love","100.00","Saved For Love",NULL,NULL
"2025-02-15","Walmart","59.29","Grocery",NULL,NULL
"2025-02-16","Pandas","8.14","Grocery",NULL,NULL
"2025-02-16","Pony Boat","24.59","Fun/Tickets",NULL,NULL
"2025-02-18","A & W","24.47","Food Outside",NULL,NULL
"2025-02-19","Saigon Pho","56.59","Food Outside",NULL,NULL
"2025-02-24","Bus Hotspot","2.00","Transportation",NULL,NULL
"2025-02-25","Swift Cost","17.00","Others",NULL,NULL
"2025-02-25","Boston Pizza","18.75","Food Outside",NULL,NULL
"2025-02-26","Superstore","43.57","Grocery",NULL,NULL
"2025-02-26","Wise Opening","30.09","Others",NULL,NULL
"2025-02-28","GEBIS","20.00","Donation",NULL,NULL
"2025-02-28","GEBIS","20.00","Donation",NULL,NULL
"2025-03-01","Eastlink","41.38","Cell Phone",NULL,NULL
"2025-03-01","Medium","74.08","Education",NULL,NULL
"2025-03-02","Tim's","12.25","Food Outside",NULL,NULL
"2025-03-02","Pony Boat","18.40","Fun/Tickets",NULL,NULL
"2025-03-03","Petro","28.61","Gas",NULL,NULL
"2025-03-04","Walmart","100.00","Grocery",NULL,NULL
"2025-03-05","Bus Hotspot","18.00","Transportation",NULL,NULL
"2025-03-05","3-1 Home Deposit","226.00","Home Deposit",NULL,NULL
"2025-03-07","Sobeys","3.29","Grocery",NULL,NULL
"2025-03-08","Nofrill","30.88","Grocery",NULL,NULL
"2025-03-10","3 Saved for Love","70.00","Saved For Love",NULL,NULL
"2025-03-10","Nofrill","13.77","Grocery",NULL,NULL
"2025-03-10","Nofrill","100.00","Grocery",NULL,NULL
"2025-03-14","Mucho","14.09","Food Outside",NULL,NULL
"2025-03-19","Mucho","16.04","Food Outside",NULL,NULL
"2025-03-23","Yumi Sushi","32.13","Food Outside",NULL,NULL
"2025-03-23","Samuel Coffee","13.40","Food Outside",NULL,NULL
"2025-03-26","Nofrill","150.00","Grocery",NULL,NULL
"2025-03-27","Mucho","11.49","Food Outside",NULL,NULL
"2025-03-28","GEBIS","20.00","Donation",NULL,NULL
"2025-03-28","GEBIS","20.00","Donation",NULL,NULL
"2025-03-28","HomeHardWare","1.14","Household Goods",NULL,NULL
"2025-03-29","Anchery","10.00","Fun/Tickets",NULL,NULL
"2025-03-30","Latino Workshop","30.00","Fun/Tickets",NULL,NULL
"2025-03-31","Pizza Pizza","6.90","Food Outside",NULL,NULL
"2025-04-03","Leonhard","50.50","Food Outside",NULL,NULL
"2025-04-04","Costco","25.00","Grocery",NULL,NULL
"2025-04-07","Eastlink","41.38","Cell Phone",NULL,NULL
"2025-04-07","Cinema","16.09","Fun/Tickets",NULL,NULL
"2025-04-07","Pandas","14.16","Grocery",NULL,NULL
"2025-04-07","Superstore","100.00","Grocery",NULL,NULL
"2025-04-09","Vietnamese Dishes","27.29","Food Outside",NULL,NULL
"2025-04-09","Mr. Seafood","70.00","Grocery",NULL,NULL
"2025-04-09","saved for love","60.00","Saved For Love",NULL,NULL
"2025-04-09","haircut","30.00","Others",NULL,NULL
"2025-04-09","Cake","20.00","Gifts",NULL,NULL
"2025-04-10","Petro","42.25","Gas",NULL,NULL
"2025-04-12","Moncton Parking","2.50","Gifts",NULL,NULL
"2025-04-12","Guru India Trip","500.00","Donation",NULL,NULL
"2025-04-12","TS temple Annual","800.00","Donation",NULL,NULL
"2025-04-12","Tim's","16.76","Food Outside",NULL,NULL
"2025-04-12","Bridge","50.25","Gifts",NULL,NULL
"2025-04-12","Costco","568.05","Grocery",NULL,NULL
"2025-04-13","GEBIS","20.00","Donation",NULL,NULL
"2025-04-13","saved for love in may","50.00","Saved For Love",NULL,NULL
"2025-04-13","saved for love in june","50.00","Saved For Love",NULL,NULL
"2025-04-14","Bus Hotspot","2.00","Transportation",NULL,NULL
"2025-04-16","Bus Hotspot","18.00","Transportation",NULL,NULL
"2025-04-21","Nofrill","100.00","Grocery",NULL,NULL
"2025-04-21","Walmart","25.00","Grocery",NULL,NULL
"2025-04-23","Dollarama","8.20","Household Goods",NULL,NULL
"2025-04-23","Gallery","7.19","Food Outside",NULL,NULL
"2025-04-23","Sobeys","50.00","Grocery",NULL,NULL
"2025-04-28","GEBIS","20.00","Donation",NULL,NULL
"2025-04-28","GEBIS","20.00","Donation",NULL,NULL
"2025-05-02","EASTLINK WIRELESS 888-345-1111 NS","41.38","Cell Phone",NULL,NULL
"2025-05-05","WAL-MART #3162 CHARLOTTETOWNPE","84.32","Grocery",NULL,NULL
"2025-05-06","MIKE & ANDREEA'S NF #3 STRATFORD PE","22.04","Grocery",NULL,NULL
"2025-05-10","MIKE & ANDREEA'S NF #3 STRATFORD PE","100.00","Grocery",NULL,NULL
"2025-05-14","PETRO-CANADA 14354 STRATFORD PE","44.00","Gas",NULL,NULL
"2025-05-15","SAIGON PHO VIETNAMESE CHARLOTTETOWNPE","45.75","Food Outside",NULL,NULL
"2025-05-18","TIM HORTONS #0580 MONTAGUE PE","7.79","Food Outside",NULL,NULL
"2025-05-20","MIKE & ANDREEA'S NF #3 STRATFORD PE","200.00","Grocery",NULL,NULL
"2025-05-20","MIKE & ANDREEA'S NF #3 STRATFORD PE","-11.26","Grocery",NULL,NULL
"2025-05-20","PITA PIT CHARLOTTETOWNPE","15.97","Food Outside",NULL,NULL
"2025-05-22","Leezen","28.00","Grocery",NULL,NULL
"2025-05-28","GREAT ENLIGHTENMENT BU MURRAY RIVER PE","20.00","Donation",NULL,NULL
"2025-05-28","GREAT ENLIGHTENMENT BU MURRAY RIVER PE","20.00","Donation",NULL,NULL
"2025-05-28","PETRO-CANADA 13923 CHARLOTTETOWNPE","63.80","Gas",NULL,NULL
"2025-05-29","BOMBAY CUISINE CHARLOTTETOWNPE","25.29","Food Outside",NULL,NULL
"2025-05-31","A&W CHARLOTTETOWN CHARLOTTETOWNPE","18.39","Food Outside",NULL,NULL
"2025-06-01","JUNCO MARKET CHARLOTTETOWNPE","22.09","Grocery",NULL,NULL
"2025-06-04","SOBEYS #621 STRATFORD PE","50.00","Grocery",NULL,NULL
"2025-06-07","ARCHERY","10.00","Fun/Tickets",NULL,NULL
"2025-06-08","EASTLINK WIRELESS 888-345-1111 NS","41.38","Cell Phone",NULL,NULL
"2025-06-12","MUCHO BURRITO - 2301 CHARLOTTETOWNPE","17.54","Food Outside",NULL,NULL
"2025-06-12","LEONHARD'S CAFE & REST CHARLOTTETOWNPE","37.50","Food Outside",NULL,NULL
"2025-06-15","Noodle Houses","31.00","Food Outside",NULL,NULL
"2025-06-16","HTSP-* TRANSIT PEI FREDERICTON NB","18.00","Transportation",NULL,NULL
"2025-06-17","E-JOY FOOD MART HALIFAX NS","17.35","Grocery",NULL,NULL
"2025-06-17","BISHOPS CELLAR HALIFAX NS","55.99","Liquor",NULL,NULL
"2025-06-17","PETRO-CANADA 13923 CHARLOTTETOWNPE","61.73","Gas",NULL,NULL
"2025-06-17","FOG COMPANY HALIFAX NS","6.84","Food Outside",NULL,NULL
"2025-06-18","COBEQUID PASS TOLL HIG HALIFAX NS","4.00","Others",NULL,NULL
"2025-06-18","IKEA HALIFAX DARTMOUTH NS","4.55","Food Outside",NULL,NULL
"2025-06-18","IKEA HALIFAX DARTMOUTH NS","10.81","Food Outside",NULL,NULL
